,Постов в рубрике: 111,,,ФИО ,Квалификация ,Место образования ,на сайте с ...,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Фитилева Ираида Артемовна. ,Врач - терапевт. Кандидат медицинских наук.,Окончила Российский национальный исследовательский медицинский университет им. Н.И. Пирогова,15 января 2012,,,,,,,,
Что такое лекарственная трава?,http://www.happy-giraffe.ru/community/33/forum/post/5378/,+,+,http://www.happy-giraffe.ru/user/433659/,,,,,,,,,,,
Как правильно употреблять лекарственные травы,http://www.happy-giraffe.ru/community/33/forum/post/5382/,+,+,,,,,,,,,,,,
"Приготовление настойки, отвара лекарственных трав",http://www.happy-giraffe.ru/community/33/forum/post/5383/,+,+,,,,,,,,,,,,
Лечим лекарственными травами болезни органов дыхания,http://www.happy-giraffe.ru/community/33/forum/post/5389/,+,+,,,,,,,,,,,,
Березовый сок в народной медицине,http://www.happy-giraffe.ru/community/33/forum/post/6343/,+,+,,,,,,,,,,,,
Полезные свойства черной смородины,http://www.happy-giraffe.ru/community/33/forum/post/6385/,+,+,,,,,,,,,,,,
Барсучий жир: применение и дозы,http://www.happy-giraffe.ru/community/33/forum/post/22229/,+,+,,,,,,,,,,,,
Пророщенная пшеница – кладезь полезных веществ,http://www.happy-giraffe.ru/community/33/forum/post/22249/,+,+,,,,,,,,,,,,
Про березовый деготь,http://www.happy-giraffe.ru/community/33/forum/post/23599/,+,+,,,,,,,,,,,,
Что мы знаем про красный корень,http://www.happy-giraffe.ru/community/33/forum/post/23655/,+,+,,,,,,,,,,,,
Может ли помочь лавровый лист от аллергии?,http://www.happy-giraffe.ru/community/33/forum/post/23659/,+,+,,,,,,,,,,,,
Рецепты природы: польза кедровых орехов,http://www.happy-giraffe.ru/community/33/forum/post/25513/,+,+,,,,,,,,,,,,
Как используется трава материнка,http://www.happy-giraffe.ru/community/33/forum/post/26797/,+,+,,,,,,,,,,,,
Боровая матка и красная щетка – растения для женского здоровья,http://www.happy-giraffe.ru/community/33/forum/post/26871/,+,+,,,,,,,,,,,,
Чем полезна жимолость,http://www.happy-giraffe.ru/community/33/forum/post/28670/,+,+,,,,,,,,,,,,
Боровая матка: противопоказания есть и их много!,http://www.happy-giraffe.ru/community/33/forum/post/29889/,+,+,,,,,,,,,,,,
Эффективные народные средства от геморроя,http://www.happy-giraffe.ru/community/33/forum/post/29922/,+,+,,,,,,,,,,,,
Фитотерапия: боровая матка и отзывы о ней,http://www.happy-giraffe.ru/community/33/forum/post/30052/,+,+,,,,,,,,,,,,
Красная щетка: применение и противопоказания,http://www.happy-giraffe.ru/community/33/forum/post/30409/,+,+,,,,,,,,,,,,
Как лечить подошвенные бородавки народными способами,http://www.happy-giraffe.ru/community/33/forum/post/31988/,+,+,,,,,,,,,,,,
Очищение организма в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/32046/,+,+,,,,,,,,,,,,
Как снизить сахар в крови: народные рецепты,http://www.happy-giraffe.ru/community/33/forum/post/32680/,+,+,,,,,,,,,,,,
Как орехи и изюм тонизируют нервную систему,http://www.happy-giraffe.ru/community/33/forum/post/32685/,+,+,,,,,,,,,,,,
Специальные скипидарные смеси для ванн: состав и действие,http://www.happy-giraffe.ru/community/33/forum/post/32783/,+,+,,,,,,,,,,,,
Кластерная вода: секреты и советы по приготовлению,http://www.happy-giraffe.ru/community/33/forum/post/32829/,+,+,,,,,,,,,,,,
Насморк при беременности и народные методы его лечения,http://www.happy-giraffe.ru/community/33/forum/post/33267/,+,+,,,,,,,,,,,,
Чем лечить кашель при беременности: советы бывалых мам,http://www.happy-giraffe.ru/community/33/forum/post/33447/,+,+,,,,,,,,,,,,
Инструкция приготовления и использования каланхоэ от насморка,http://www.happy-giraffe.ru/community/33/forum/post/33700/,+,+,,,,,,,,,,,,
"Как лечить молочницу при беременности: рецепты, проверенные временем",http://www.happy-giraffe.ru/community/33/forum/post/33774/,+,+,,,,,,,,,,,,
Массаж ступней ног: помогает природа,http://www.happy-giraffe.ru/community/33/forum/post/39623/,+,+,,,,,,,,,,,,
Продукты против рака: 7 самых доступных и эффективных,http://www.happy-giraffe.ru/community/33/forum/post/40410/,+,+,,,,,,,,,,,,
Кедровый орех: полезные свойства и их использование в народной медицине,http://www.happy-giraffe.ru/community/33/forum/post/41442/,+,+,,,,,,,,,,,,
Как помогает имбирь при простуде?,http://www.happy-giraffe.ru/community/33/forum/post/41634/,+,+,,,,,,,,,,,,
Как лечить цистит народными способами,http://www.happy-giraffe.ru/community/33/forum/post/41909/,+,+,,,,,,,,,,,,
"Контрастный душ – эффектная процедура, но не для всех",http://www.happy-giraffe.ru/community/33/forum/post/41929/,+,+,,,,,,,,,,,,
Как сбить температуру: домашняя помощь,http://www.happy-giraffe.ru/community/33/forum/post/41935/,+,+,,,,,,,,,,,,
Облепиха: полезные свойства и способы применения,http://www.happy-giraffe.ru/community/33/forum/post/41990/,+,+,,,,,,,,,,,,
"Мочегонные травы: список, показания к приему, правильное применение",http://www.happy-giraffe.ru/community/33/forum/post/42015/,+,+,,,,,,,,,,,,
Лечебные и магические свойства камней,http://www.happy-giraffe.ru/community/33/forum/post/42050/,+,+,,,,,,,,,,,,
Гранатовый сок: польза и вред,http://www.happy-giraffe.ru/community/33/forum/post/42876/,+,+,,,,,,,,,,,,
"Последователи Дуремара, или Лечение пиявками",http://www.happy-giraffe.ru/community/33/forum/post/42947/,+,+,,,,,,,,,,,,
Лепота!!! Великолепное облепиховое масло,http://www.happy-giraffe.ru/community/33/forum/post/42952/,+,+,,,,,,,,,,,,
Снотворное в домашних условиях: как уснуть без лекарств,http://www.happy-giraffe.ru/community/33/forum/post/43033/,+,+,,,,,,,,,,,,
Льняное семя: 5 полезных свойств,http://www.happy-giraffe.ru/community/33/forum/post/43167/,+,+,,,,,,,,,,,,
Чем ценна калина? Полезные свойства,http://www.happy-giraffe.ru/community/33/forum/post/43203/,+,+,,,,,,,,,,,,
Ячмень на глазу: лечение необычными способами,http://www.happy-giraffe.ru/community/33/forum/post/43225/,+,+,,,,,,,,,,,,
Гирудотерапия — эффективное лечение от всех болезней,http://www.happy-giraffe.ru/community/33/forum/post/43275/,+,+,,,,,,,,,,,,
"5 проверенных способов того, как поднять давление",http://www.happy-giraffe.ru/community/33/forum/post/43301/,+,+,,,,,,,,,,,,
"Как лечить травами, если поджелудочная железа болит?",http://www.happy-giraffe.ru/community/33/forum/post/43479/,+,+,,,,,,,,,,,,
Оранжевый сухофрукт! Курага – полезные свойства,http://www.happy-giraffe.ru/community/33/forum/post/43516/,+,+,,,,,,,,,,,,
Как вылечить горло за 1 день: избавляемся от ангины,http://www.happy-giraffe.ru/community/33/forum/post/43567/,+,+,,,,,,,,,,,,
Кровоточат десны: что делать и как жить дальше?,http://www.happy-giraffe.ru/community/33/forum/post/43571/,+,+,,,,,,,,,,,,
"Чем полезен мёд, и при каких заболеваниях его используют?",http://www.happy-giraffe.ru/community/33/forum/post/43577/,+,+,,,,,,,,,,,,
Душица: полезные свойства и секреты заготовки,http://www.happy-giraffe.ru/community/33/forum/post/43753/,+,+,,,,,,,,,,,,
"Ух, захватывает дух! Чеснок: полезные свойства",http://www.happy-giraffe.ru/community/33/forum/post/43830/,+,+,,,,,,,,,,,,
Средство от синяков: самостоятельное лечение натуральными препаратами,http://www.happy-giraffe.ru/community/33/forum/post/44145/,+,+,,,,,,,,,,,,
Крапива - полезные свойства жгучего растения,http://www.happy-giraffe.ru/community/33/forum/post/44628/,+,+,,,,,,,,,,,,
Масло зародышей пшеницы – кладовая здоровья,http://www.happy-giraffe.ru/community/33/forum/post/45059/,+,+,,,,,,,,,,,,
"Чай каркаде: польза и вред, аромат и цвет",http://www.happy-giraffe.ru/community/33/forum/post/45132/,+,+,,,,,,,,,,,,
Этот удивительный рисовый гриб,http://www.happy-giraffe.ru/community/33/forum/post/45659/,+,+,,,,,,,,,,,,
Каменное масло — эликсир молодости и здоровья,http://www.happy-giraffe.ru/community/33/forum/post/45745/,+,+,,,,,,,,,,,,
Сохраняем гибкость и пластичность: желатин для суставов,http://www.happy-giraffe.ru/community/33/forum/post/45773/,+,+,,,,,,,,,,,,
Розовый лишай: лечение народными средствами,http://www.happy-giraffe.ru/community/33/forum/post/46017/,+,+,,,,,,,,,,,,
Иван-чай: полезные свойства на страже здоровья,http://www.happy-giraffe.ru/community/33/forum/post/46660/,+,+,,,,,,,,,,,,
Как очистить кишечник в домашних условиях самостоятельно?,http://www.happy-giraffe.ru/community/33/forum/post/47002/,+,+,,,,,,,,,,,,
Массажная ванночка для ног – отдых и восстановление здоровья,http://www.happy-giraffe.ru/community/33/forum/post/47306/,+,+,,,,,,,,,,,,
"Как поправиться быстро, или Если завтра уже нельзя болеть",http://www.happy-giraffe.ru/community/33/forum/post/47335/,+,+,,,,,,,,,,,,
Настойка пустырника – почему на нее стоит обратить внимание?,http://www.happy-giraffe.ru/community/33/forum/post/47407/,+,+,,,,,,,,,,,,
Яблочный уксус: полезные советы,http://www.happy-giraffe.ru/community/33/forum/post/47589/,+,+,,,,,,,,,,,,
Линия жизни на ладони: размер не имеет значения!,http://www.happy-giraffe.ru/community/33/forum/post/47605/,+,+,,,,,,,,,,,,
"5 эффективных способов, как понизить сахар в крови в домашних условиях",http://www.happy-giraffe.ru/community/33/forum/post/48640/,+,+,,,,,,,,,,,,
Чистка кишечника: как освободиться от балласта в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/48665/,+,+,,,,,,,,,,,,
Cухой кашель по ночам: как облегчить его приступы,http://www.happy-giraffe.ru/community/33/forum/post/48675/,+,+,,,,,,,,,,,,
Как повысить низкое нижнее давление,http://www.happy-giraffe.ru/community/33/forum/post/49320/,+,+,,,,,,,,,,,,
Мочегонные травы при отеках: природная сила на страже нашего здоровья,http://www.happy-giraffe.ru/community/33/forum/post/49640/,+,+,,,,,,,,,,,,
Полип в желчном пузыре? Избавляемся от него народными методами,http://www.happy-giraffe.ru/community/33/forum/post/49709/,+,+,,,,,,,,,,,,
"Барбарис, полезные свойства которого удивляют",http://www.happy-giraffe.ru/community/33/forum/post/50011/,+,+,,,,,,,,,,,,
5 способов вызвать месячные народными средствами,http://www.happy-giraffe.ru/community/33/forum/post/50044/,+,+,,,,,,,,,,,,
Как употреблять имбирь: приятно и неожиданно,http://www.happy-giraffe.ru/community/33/forum/post/50064/,+,+,,,,,,,,,,,,
Самые популярные народные средства от молочницы,http://www.happy-giraffe.ru/community/33/forum/post/50745/,+,+,,,,,,,,,,,,
Аромамасла и их свойства — дары природы помогут при любой проблеме!,http://www.happy-giraffe.ru/community/33/forum/post/50874/,+,+,,,,,,,,,,,,
